advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
CEC European Managers		962505560483309	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	5	0	0	0
Greenpeace Polska		32104614789	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	4	0	0	0
Národní Noviny	Hrubon Rudolf	267806570729225	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	4	0	0	0
Veganuary		170911309781648	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	4	0	0	0
Lettuce Networks		323302384460728	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	4	0	0	0
Hippie Freaks - Amzitee		1939985326124908	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	4	0	0	0
Melba Culp		902971599738051	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	4	0	0	0
Resonate Productions - musical journalism		1405480796154561	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	4	0	0	0
Atomcsapda	Energiaklub	1298059770281335	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	3	0	0	0
Odin		548799562209914	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	3	0	0	0
Whimsy Shops		2249890101944751	Facebook	0_1k	0 - 1k	SK	Slovakia	3	1	3	0	0	0
Mädels.reisen		2029674127313803	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	3	0	0	0
Tekoha		151941038832087	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	3	0	0	0
Eric Demers Photo		159610404175195	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	3	0	0	0
NewChic		1691776254387133	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	3	0	0	0
Академия Частного Инвестора / проект Андрея Ховратова		1341167019254839	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	3	0	0	0
